source_index,split
30768,train
4648,train
6350,train
45864,train
34441,train
27765,train
17746,train
7974,train
36522,train
10435,train
19599,train
3364,train
21022,train
2731,train
40997,train
25857,train
40803,train
6341,train
30856,train
17408,train
32534,train
19820,train
40826,train
46844,train
8900,train
15475,train
32541,train
19781,train
4392,train
13197,train
2761,train
18935,train
3306,train
6689,train
27053,train
23039,train
3111,train
7769,train
39029,train
28833,train
3032,train
36941,train
22588,train
14265,train
8194,train
15372,train
4318,train
27284,train
47526,train
32579,train
5031,train
22304,train
38957,train
22829,train
21567,train
6807,train
28151,train
39839,train
5295,train
21840,train
13406,train
23378,train
21129,train
17539,train
40372,train
36213,train
49754,train
48952,train
30052,train
44103,train
2294,train
16519,train
20943,train
15486,train
32270,train
35404,train
16853,train
24490,train
34098,train
45529,train
44905,train
10927,train
41032,train
31443,train
38872,train
25480,train
25423,train
47507,train
19756,train
9778,train
10016,train
30347,train
37881,train
23686,train
38080,train
38082,train
7906,train
3772,train
46355,train
39111,train
49053,train
9572,train
29799,train
9879,train
34367,train
23092,train
43826,train
12115,train
16307,train
10109,train
36375,train
1777,train
36832,train
21999,train
4839,train
32685,train
28791,train
8018,train
420,train
10512,train
30107,train
19032,train
45810,train
33871,train
27533,train
6171,train
27405,train
8909,train
610,train
30318,train
29429,train
46578,train
42757,train
24061,train
7340,train
1881,train
47431,train
20842,train
18557,train
25497,train
6735,train
21180,train
28166,train
24735,train
16058,train
37458,train
39370,train
16191,train
28168,train
30079,train
25807,train
36441,train
16149,train
30888,train
43152,train
4877,train
15468,train
23055,train
40522,train
37281,train
20603,train
12785,train
35655,train
44581,train
28526,train
7112,train
39421,train
3633,train
4841,train
8570,train
27021,train
7461,train
39499,train
10585,train
6756,train
32922,train
43226,train
9037,train
6475,train
8154,train
5116,train
17092,train
47,train
17569,train
3384,train
13754,train
10589,train
16504,train
10598,train
48570,train
49406,train
38502,train
294,train
21957,train
2055,train
13491,train
26060,train
2914,train
31565,train
40174,train
19954,train
2594,train
40118,train
15060,train
24994,train
20764,train
3552,train
33293,train
40662,train
42084,train
34364,train
8759,train
24795,train
31710,train
2796,train
48629,train
43153,train
49080,train
43708,train
29653,train
