label,class_name,brightness,contrast,red_mean,green_mean,blue_mean
6,frog,103.447266,51.973717,141.20508,105.09961,64.03711
9,truck,130.34734,60.4792,130.19922,130.36523,130.47754
9,truck,133.74055,82.56325,133.48438,135.15234,132.58496
4,deer,80.22428,36.471916,99.97949,83.2793,57.414062
1,automobile,103.47494,60.549606,92.021484,102.40039,116.00293
1,automobile,90.33301,60.928284,142.44043,70.78027,57.77832
2,bird,119.6084,53.28284,120.53125,152.91602,85.37793
7,horse,121.69857,59.34629,132.45215,134.77441,97.86914
8,ship,151.46191,62.683037,109.16504,156.2373,188.9834
3,cat,70.498695,57.28172,78.13672,71.56348,61.7959
4,deer,73.77799,18.528858,77.74609,81.19336,62.39453
7,horse,141.1289,67.30047,156.4248,137.73535,129.22656
7,horse,132.33496,67.82997,120.62012,142.34473,134.04004
2,bird,76.006836,75.68733,79.76074,72.461914,75.79785
9,truck,92.98405,50.68274,93.81445,98.913086,86.22461
9,truck,141.13152,52.749428,117.268555,144.25684,161.86914
9,truck,140.64648,72.62857,140.63965,143.46973,137.83008
3,cat,88.927086,45.090195,97.328125,87.96582,81.487305
2,bird,127.43359,62.389427,140.10742,124.43848,117.75488
6,frog,119.09635,51.176952,110.53906,132.42871,114.32129
4,deer,176.23926,44.24587,172.25684,175.89844,180.5625
3,cat,103.99088,92.45348,214.31055,38.91797,58.74414
6,frog,68.7526,35.01087,81.453125,70.774414,54.030273
6,frog,98.7806,37.244118,119.98828,103.25195,73.10156
2,bird,86.384766,43.16884,90.04297,88.44238,80.668945
6,frog,130.55891,53.744125,142.00293,133.73242,115.94141
3,cat,83.66569,47.41316,109.1582,83.25293,58.585938
5,dog,70.10905,38.208748,68.57031,70.31836,71.43848
4,deer,124.93978,47.25376,133.09082,129.4082,112.32031
0,airplane,148.60449,91.36475,147.90625,148.65234,149.25488
0,airplane,126.433266,32.379135,133.91992,124.71875,120.66113
9,truck,126.13086,68.49641,129.39551,128.28223,120.71484
1,automobile,97.87891,63.28495,96.91406,100.228516,96.49414
3,cat,120.319336,50.77581,128.65723,122.99219,109.30859
4,deer,125.23926,48.618168,135.20605,142.375,98.13672
0,airplane,109.72266,61.060917,142.69727,120.56445,65.90625
3,cat,161.75911,43.86094,163.67676,163.27246,158.32812
7,horse,85.865234,34.603313,85.049805,92.081055,80.46484
3,cat,131.59212,67.9849,128.66992,126.97168,139.13477
3,cat,112.30404,38.91197,110.04785,118.0293,108.83496
5,dog,114.51107,58.915325,126.45801,117.69629,99.37891
2,bird,184.21028,52.01725,212.0918,187.93555,152.60352
2,bird,134.9655,30.282375,149.21387,143.61621,112.06641
7,horse,136.55534,60.413807,156.81445,133.94824,118.90332
1,automobile,101.402016,49.513508,105.47363,106.80762,91.924805
1,automobile,93.152016,59.99414,116.76465,89.29297,73.39844
1,automobile,110.759766,69.04213,111.84473,112.66797,107.7666
2,bird,98.66178,31.854076,70.46875,101.671875,123.84473
2,bird,183.25488,37.42133,183.39551,198.13672,168.23242
0,airplane,193.68457,72.65901,194.77344,193.17676,193.10352
9,truck,94.11263,41.439804,77.1582,101.3916,103.788086
5,dog,112.57357,55.388706,138.81543,106.0459,92.859375
7,horse,107.70996,56.099056,122.850586,112.40723,87.87207
9,truck,164.45573,44.387764,160.39746,168.6914,164.27832
2,bird,74.30762,35.01632,73.3125,94.60449,55.00586
2,bird,147.56316,68.91214,148.28809,161.60352,132.79785
5,dog,102.52474,66.8413,142.27441,102.49805,62.801758
2,bird,73.45215,34.596317,82.76465,79.05176,58.54004
4,deer,108.36328,34.415897,135.88477,118.34766,70.85742
3,cat,99.98698,68.26017,88.00781,99.381836,112.57129
1,automobile,116.86295,71.94851,114.74414,112.88086,122.96387
1,automobile,137.24675,47.230156,135.64551,138.27441,137.82031
8,ship,120.7308,50.495953,94.63965,122.50293,145.0498
2,bird,75.87305,47.20468,70.03418,90.075195,67.509766
1,automobile,109.90365,56.025986,130.12695,101.5791,98.00488
1,automobile,137.03255,58.718678,138.85059,134.82227,137.4248
4,deer,110.03776,43.477215,123.08789,118.72461,88.30078
9,truck,148.63672,64.96265,166.44043,128.4873,150.98242
7,horse,85.73763,59.115097,93.291016,86.36328,77.55859
8,ship,126.48177,33.972767,123.140625,127.40723,128.89746
5,dog,112.02051,38.883076,103.74121,121.95996,110.36035
9,truck,79.20475,64.16578,83.06738,84.302734,70.24414
6,frog,114.37598,73.26995,117.8418,112.71875,112.56738
7,horse,83.92155,45.86924,86.84961,88.53125,76.38379
3,cat,132.83105,46.850735,121.67871,146.85547,129.95898
1,automobile,118.29362,35.253643,122.768555,116.65918,115.453125
9,truck,149.1595,58.468475,138.38184,153.45508,155.6416
0,airplane,95.59277,50.704205,86.96289,111.82715,87.98828
3,cat,113.20736,54.231358,115.22363,116.49609,107.90234
1,automobile,177.83008,69.63947,176.51562,179.21484,177.75977
3,cat,129.14778,36.962498,126.23242,128.67578,132.53516
5,dog,100.18815,55.46263,100.16797,102.06348,98.33301
4,deer,117.139,36.891212,119.700195,137.7998,93.91699
5,dog,130.19856,55.559322,111.543945,130.68848,148.36328
7,horse,103.36295,53.78753,115.4541,102.67285,91.961914
7,horse,53.174152,55.653988,65.08301,47.625,46.814453
4,deer,102.424805,37.372322,107.97754,114.53125,84.765625
7,horse,114.739586,49.581566,123.00488,137.08594,84.12793
