image_id,filename,label,label_name
train_00001,leptodactylus_pentadactylus_s_000004.png,6,frog
train_00002,camion_s_000148.png,9,truck
train_00003,tipper_truck_s_001250.png,9,truck
train_00004,american_elk_s_001521.png,4,deer
train_00005,station_wagon_s_000293.png,1,automobile
train_00006,coupe_s_001735.png,1,automobile
train_00007,cassowary_s_001300.png,2,bird
train_00008,cow_pony_s_001168.png,7,horse
train_00009,sea_boat_s_001584.png,8,ship
train_00010,tabby_s_001355.png,3,cat
train_00011,muntjac_s_001000.png,4,deer
train_00012,arabian_s_001354.png,7,horse
train_00013,quarter_horse_s_000672.png,7,horse
train_00014,passerine_s_000343.png,2,bird
train_00015,camion_s_001895.png,9,truck
train_00016,trailer_truck_s_000335.png,9,truck
train_00017,dumper_s_000821.png,9,truck
train_00018,alley_cat_s_000200.png,3,cat
train_00019,accentor_s_000677.png,2,bird
train_00020,frog_s_001671.png,6,frog
train_00021,capreolus_capreolus_s_000051.png,4,deer
train_00022,tomcat_s_000772.png,3,cat
train_00023,pickerel_frog_s_000446.png,6,frog
train_00024,bufo_s_001242.png,6,frog
train_00025,cassowary_s_001246.png,2,bird
train_00026,toad_s_001748.png,6,frog
train_00027,cat_s_000081.png,3,cat
train_00028,chihuahua_s_000825.png,5,dog
train_00029,alces_alces_s_000959.png,4,deer
train_00030,stealth_bomber_s_000554.png,0,airplane
train_00031,twinjet_s_000663.png,0,airplane
train_00032,trucking_rig_s_001402.png,9,truck
train_00033,auto_s_000609.png,1,automobile
train_00034,tabby_cat_s_000983.png,3,cat
train_00035,wapiti_s_000416.png,4,deer
train_00036,monoplane_s_000895.png,0,airplane
train_00037,true_cat_s_000247.png,3,cat
train_00038,tennessee_walker_s_000486.png,7,horse
train_00039,house_cat_s_000243.png,3,cat
train_00040,house_cat_s_001196.png,3,cat
train_00041,pekinese_s_001337.png,5,dog
train_00042,ostrich_s_001368.png,2,bird
train_00043,ostrich_s_001150.png,2,bird
train_00044,stallion_s_000046.png,7,horse
train_00045,station_waggon_s_000041.png,1,automobile
train_00046,coupe_s_001944.png,1,automobile
train_00047,estate_car_s_000580.png,1,automobile
train_00048,accentor_s_000759.png,2,bird
train_00049,emu_novaehollandiae_s_000795.png,2,bird
train_00050,dive_bomber_s_001390.png,0,airplane
train_00051,articulated_lorry_s_000131.png,9,truck
train_00052,pekinese_s_001093.png,5,dog
train_00053,broodmare_s_001463.png,7,horse
train_00054,delivery_truck_s_000834.png,9,truck
train_00055,songbird_s_001052.png,2,bird
train_00056,emu_s_000692.png,2,bird
train_00057,puppy_s_000115.png,5,dog
train_00058,wagtail_s_001821.png,2,bird
train_00059,dama_dama_s_000658.png,4,deer
train_00060,domestic_cat_s_001970.png,3,cat
train_00061,ambulance_s_003039.png,1,automobile
train_00062,convertible_s_001763.png,1,automobile
train_00063,tank_ship_s_001229.png,8,ship
train_00064,cassowary_s_001055.png,2,bird
train_00065,wagon_s_001142.png,1,automobile
train_00066,police_cruiser_s_000620.png,1,automobile
train_00067,moose_s_002308.png,4,deer
train_00068,aerial_ladder_truck_s_000584.png,9,truck
train_00069,saddle_horse_s_000717.png,7,horse
train_00070,tanker_s_001350.png,8,ship
train_00071,mongrel_s_001571.png,5,dog
train_00072,truck_s_000835.png,9,truck
train_00073,pickerel_frog_s_001195.png,6,frog
train_00074,lipizzan_s_000399.png,7,horse
train_00075,tabby_s_000074.png,3,cat
train_00076,automobile_s_001887.png,1,automobile
train_00077,moving_van_s_001665.png,9,truck
train_00078,attack_aircraft_s_000153.png,0,airplane
train_00079,domestic_cat_s_001596.png,3,cat
train_00080,compact_car_s_000048.png,1,automobile
train_00081,domestic_cat_s_000009.png,3,cat
train_00082,pekingese_s_002089.png,5,dog
train_00083,capreolus_capreolus_s_001095.png,4,deer
train_00084,blenheim_spaniel_s_001103.png,5,dog
train_00085,stallion_s_000040.png,7,horse
train_00086,stud_mare_s_001672.png,7,horse
train_00087,elk_s_000920.png,4,deer
train_00088,lipizzan_s_001123.png,7,horse
train_00089,fire_truck_s_002721.png,9,truck
train_00090,elk_s_001888.png,4,deer
train_00091,finch_s_000750.png,2,bird
train_00092,tabby_s_000880.png,3,cat
train_00093,banana_boat_s_001324.png,8,ship
train_00094,twinjet_s_000591.png,0,airplane
train_00095,shooting_brake_s_000029.png,1,automobile
train_00096,rana_pipiens_s_000101.png,6,frog
train_00097,station_wagon_s_001387.png,1,automobile
train_00098,station_wagon_s_002712.png,1,automobile
train_00099,odocoileus_hemionus_s_000221.png,4,deer
train_00100,convertible_s_001715.png,1,automobile
train_00101,abandoned_ship_s_000574.png,8,ship
train_00102,true_cat_s_000114.png,3,cat
train_00103,dustcart_s_000063.png,9,truck
train_00104,frog_s_000797.png,6,frog
train_00105,green_frog_s_001320.png,6,frog
train_00106,compact_car_s_001038.png,1,automobile
train_00107,freighter_s_001351.png,8,ship
train_00108,mutt_s_000251.png,5,dog
train_00109,accentor_s_000303.png,2,bird
train_00110,lorry_s_001154.png,9,truck
train_00111,fire_truck_s_000894.png,9,truck
train_00112,cargo_vessel_s_000731.png,8,ship
train_00113,cruiser_s_000774.png,1,automobile
train_00114,lippizan_s_000359.png,7,horse
train_00115,broodmare_s_001741.png,7,horse
train_00116,fighter_aircraft_s_000876.png,0,airplane
train_00117,amphibious_aircraft_s_000216.png,0,airplane
train_00118,leopard_frog_s_000339.png,6,frog
train_00119,trucking_rig_s_001315.png,9,truck
train_00120,shooting_brake_s_000886.png,1,automobile
train_00121,pipit_s_000549.png,2,bird
train_00122,ostrich_s_002148.png,2,bird
train_00123,trucking_rig_s_001600.png,9,truck
train_00124,alauda_arvensis_s_000755.png,2,bird
train_00125,rana_temporaria_s_001087.png,6,frog
train_00126,bufo_s_000136.png,6,frog
train_00127,estate_car_s_000529.png,1,automobile
train_00128,aerial_ladder_truck_s_000997.png,9,truck
train_00129,toy_spaniel_s_000384.png,5,dog
train_00130,amphibious_aircraft_s_001195.png,0,airplane
train_00131,fallow_deer_s_001598.png,4,deer
train_00132,quarter_horse_s_000414.png,7,horse
train_00133,anuran_s_000712.png,6,frog
train_00134,arabian_s_001366.png,7,horse
train_00135,auto_s_000040.png,1,automobile
train_00136,cargo_ship_s_001063.png,8,ship
train_00137,motorcar_s_000121.png,1,automobile
train_00138,motorcar_s_000305.png,1,automobile
train_00139,anthus_pratensis_s_001071.png,2,bird
train_00140,cruiser_s_000294.png,8,ship
train_00141,wagon_s_000763.png,1,automobile
train_00142,alley_cat_s_002579.png,3,cat
train_00143,tabby_cat_s_000825.png,3,cat
train_00144,spadefoot_s_000051.png,6,frog
train_00145,wagtail_s_002075.png,2,bird
train_00146,fallow_deer_s_001697.png,4,deer
train_00147,garbage_truck_s_000777.png,9,truck
train_00148,moving_van_s_000067.png,9,truck
train_00149,mongrel_s_000696.png,5,dog
train_00150,red_deer_s_000741.png,4,deer
train_00151,true_cat_s_001768.png,3,cat
train_00152,spadefoot_s_000377.png,6,frog
train_00153,lipizzan_s_001233.png,7,horse
train_00154,japanese_deer_s_000163.png,4,deer
train_00155,toad_s_002436.png,6,frog
train_00156,police_boat_s_001421.png,8,ship
train_00157,puppy_s_002062.png,5,dog
train_00158,lapdog_s_001869.png,5,dog
train_00159,elk_s_001196.png,4,deer
train_00160,domestic_cat_s_001235.png,3,cat
train_00161,car_s_000057.png,1,automobile
train_00162,lightship_s_000064.png,8,ship
train_00163,fallow_deer_s_001997.png,4,deer
train_00164,quarter_horse_s_000022.png,7,horse
train_00165,bufo_calamita_s_000566.png,6,frog
train_00166,biplane_s_000624.png,0,airplane
train_00167,fire_truck_s_001616.png,9,truck
train_00168,japanese_spaniel_s_000037.png,5,dog
train_00169,ambulance_s_001394.png,1,automobile
train_00170,domestic_cat_s_001056.png,3,cat
train_00171,tugboat_s_001384.png,8,ship
train_00172,emu_s_000072.png,2,bird
train_00173,gelding_s_000206.png,7,horse
train_00174,puppy_s_000637.png,5,dog
train_00175,tabby_cat_s_002607.png,3,cat
train_00176,elk_s_001198.png,4,deer
train_00177,estate_car_s_001496.png,1,automobile
train_00178,peke_s_001338.png,5,dog
train_00179,arabian_s_001018.png,7,horse
train_00180,fighter_aircraft_s_000538.png,0,airplane
train_00181,fallow_deer_s_001164.png,4,deer
train_00182,lippizan_s_000390.png,7,horse
train_00183,toy_dog_s_000932.png,5,dog
train_00184,maltese_s_002151.png,5,dog
train_00185,car_s_000002.png,1,automobile
train_00186,jumbo_jet_s_000697.png,0,airplane
train_00187,dump_truck_s_000008.png,9,truck
train_00188,spadefoot_s_000084.png,6,frog
train_00189,motortruck_s_000014.png,9,truck
train_00190,jetliner_s_001502.png,0,airplane
train_00191,tanker_s_000157.png,8,ship
train_00192,riding_horse_s_001870.png,7,horse
train_00193,cabin_cruiser_s_000096.png,8,ship
train_00194,dredger_s_001623.png,8,ship
train_00195,pipit_s_001102.png,2,bird
train_00196,mongrel_s_002430.png,5,dog
train_00197,skylark_s_000150.png,2,bird
train_00198,cat_s_001604.png,3,cat
train_00199,puppy_s_000211.png,5,dog
train_00200,airbus_s_001124.png,0,airplane
train_00201,leopard_frog_s_001021.png,6,frog
train_00202,wagon_s_001824.png,1,automobile
train_00203,garbage_truck_s_000147.png,9,truck
train_00204,tabby_s_001354.png,3,cat
train_00205,rana_temporaria_s_000295.png,6,frog
train_00206,lorry_s_000364.png,9,truck
train_00207,estate_car_s_000075.png,1,automobile
train_00208,tabby_s_000970.png,3,cat
train_00209,fire_engine_s_000985.png,9,truck
train_00210,toad_s_000022.png,6,frog
train_00211,texas_toad_s_000215.png,6,frog
train_00212,broodmare_s_000707.png,7,horse
train_00213,car_s_000286.png,1,automobile
train_00214,twinjet_s_000565.png,0,airplane
train_00215,truck_s_001385.png,9,truck
train_00216,toy_dog_s_000752.png,5,dog
train_00217,police_boat_s_000092.png,8,ship
train_00218,toy_dog_s_001197.png,5,dog
train_00219,cassowary_s_002446.png,2,bird
train_00220,articulated_lorry_s_000050.png,9,truck
train_00221,monoplane_s_000781.png,0,airplane
train_00222,lightship_s_000343.png,8,ship
train_00223,powerboat_s_001486.png,8,ship
train_00224,jumbo_jet_s_000071.png,0,airplane
train_00225,bufo_debilis_s_000024.png,6,frog
train_00226,transporter_s_000272.png,9,truck
train_00227,estate_car_s_000743.png,1,automobile
train_00228,motorcar_s_000697.png,1,automobile
train_00229,rana_catesbeiana_s_001655.png,6,frog
train_00230,tabby_s_000675.png,3,cat
train_00231,remount_s_000285.png,7,horse
train_00232,rana_catesbeiana_s_001521.png,6,frog
train_00233,true_frog_s_000223.png,6,frog
train_00234,airliner_s_002304.png,0,airplane
train_00235,natterjack_s_000987.png,6,frog
train_00236,leptodactylid_s_000082.png,6,frog
train_00237,coupe_s_001892.png,1,automobile
train_00238,quarter_horse_s_000419.png,7,horse
train_00239,car_s_001323.png,1,automobile
train_00240,maltese_dog_s_001043.png,5,dog
train_00241,boat_s_000543.png,8,ship
train_00242,tabby_cat_s_001537.png,3,cat
train_00243,rana_catesbeiana_s_001096.png,6,frog
train_00244,bufo_bufo_s_000326.png,6,frog
train_00245,pilot_boat_s_000646.png,8,ship
train_00246,toad_frog_s_001672.png,6,frog
train_00247,boat_s_000988.png,8,ship
train_00248,deer_s_001383.png,4,deer
train_00249,bufo_bufo_s_000261.png,6,frog
train_00250,leopard_frog_s_000763.png,6,frog
train_00251,coupe_s_002178.png,1,automobile
train_00252,cat_s_000663.png,3,cat
train_00253,ship_s_000175.png,8,ship
train_00254,house_cat_s_001471.png,3,cat
train_00255,stag_s_001458.png,4,deer
train_00256,station_wagon_s_001337.png,1,automobile
train_00257,quarter_horse_s_002201.png,7,horse
train_00258,coupe_s_000698.png,1,automobile
train_00259,tomcat_s_002553.png,3,cat
train_00260,scow_s_001266.png,8,ship
train_00261,chihuahua_s_000385.png,5,dog
train_00262,convertible_s_001500.png,1,automobile
train_00263,convertible_s_000408.png,1,automobile
train_00264,odocoileus_hemionus_s_000512.png,4,deer
train_00265,jumbo_jet_s_000971.png,0,airplane
train_00266,truck_s_000650.png,9,truck
train_00267,domestic_cat_s_001288.png,3,cat
train_00268,walking_horse_s_000194.png,7,horse
train_00269,elk_s_001657.png,4,deer
train_00270,tipper_truck_s_000287.png,9,truck
train_00271,dumper_s_000648.png,9,truck
train_00272,struthio_camelus_s_000225.png,2,bird
train_00273,woodland_caribou_s_000803.png,4,deer
train_00274,ladder_truck_s_000795.png,9,truck
train_00275,pantechnicon_s_000230.png,9,truck
train_00276,shooting_brake_s_000229.png,1,automobile
train_00277,jetliner_s_001349.png,0,airplane
train_00278,toy_dog_s_001280.png,5,dog
train_00279,dump_truck_s_002104.png,9,truck
train_00280,twinjet_s_001360.png,0,airplane
train_00281,tugboat_s_000715.png,8,ship
train_00282,passerine_s_000360.png,2,bird
train_00283,automobile_s_002337.png,1,automobile
train_00284,honey_eater_s_001422.png,2,bird
train_00285,attack_aircraft_s_001304.png,0,airplane
train_00286,toy_dog_s_000114.png,5,dog
train_00287,anuran_s_000550.png,6,frog
train_00288,mouser_s_000382.png,3,cat
train_00289,sparrow_s_000037.png,2,bird
train_00290,stud_mare_s_001038.png,7,horse
train_00291,speedboat_s_002588.png,8,ship
train_00292,passenger_ship_s_002153.png,8,ship
train_00293,bufo_bufo_s_001876.png,6,frog
train_00294,biplane_s_000651.png,0,airplane
train_00295,gelding_s_001785.png,7,horse
train_00296,trucking_rig_s_001598.png,9,truck
train_00297,deer_s_000309.png,4,deer
train_00298,pekingese_s_001946.png,5,dog
train_00299,frog_s_002802.png,6,frog
train_00300,cervus_unicolor_s_000290.png,4,deer
train_00301,honey_eater_s_000478.png,2,bird
